time,area_h1,area_h2,area_h3,area_h4,area_h5,area_h6,area_h7
0,134071.5554472,44264.953023481,35656.844915372,44264.953023481,40751.439509967,9526.2200895163,341464.03399097
3125,134069.37399891,44272.38279158,35656.06399353,44262.754020535,40749.250689065,9639.4378931331,341350.73661323
6250,134063.84495232,44293.044809245,35657.132288248,44260.440869486,40746.666644416,10097.216256953,340881.65417932
12500,134030.05471528,44400.635919811,35673.204098327,44258.675308588,40741.753757431,11324.398912535,339571.27728802
18750,133960.05081563,44578.44612024,35707.548352399,44261.691935256,40737.994686366,12736.044374032,338018.22371607
25000,133855.75073344,44801.053152334,35756.226214093,44269.533324238,40735.714391754,14163.536151213,336418.18603292
31250,133726.38480438,45053.211971242,35813.764476643,44281.022267006,40734.622315614,15568.191514141,334822.80265096
37500,133580.85948265,45328.818108028,35876.176741928,44294.80163843,40734.255703097,16945.457814302,333239.63051155
43750,133425.04611765,45622.834989558,35941.312679819,44309.849486995,40734.231433305,18272.098864803,331694.62642786
50000,133261.85414981,45929.917451985,36008.367384033,44325.551290586,40734.309101251,19606.012391702,330133.98823063
56250,133092.0676427,46245.798401165,36077.368208258,44341.633253317,40734.36408598,20731.329046277,328777.43936229
62500,132915.2216127,46567.716789934,36148.789773724,44358.086823716,40734.35874091,21790.635422601,327485.1908364
68750,132730.32864608,46895.567745657,36223.279902899,44375.092626092,40734.332681079,22767.249450377,326274.14894781
75000,132536.40145678,47231.979510318,36301.477375318,44392.94142957,40734.398022468,23686.83847698,325115.96372856
81250,132332.77616771,47578.725719624,36383.906239467,44411.96346629,40734.725454448,24575.933407328,323981.96954513
93750,131895.73451022,48286.970463509,36563.985569688,44455.186852532,40737.320127404,26740.38669767,321320.41577897
106250,131426.15271041,49005.885049677,36762.886035743,44506.466240065,40743.640575893,28631.528145132,318923.44124307
118750,130935.36649156,49721.543019866,36977.128715126,44566.476135299,40754.837526753,30283.423864554,316761.22424683
131250,130434.55441422,50426.20608579,37200.871222118,44634.76794823,40771.609076458,31819.815770935,314712.17548223
143750,129931.06171643,51196.223858532,37428.208623988,44709.705062543,40794.228633624,33326.328251372,312614.2438535
156250,129427.08292201,51948.046759228,37655.203309948,44788.672081256,40822.505540283,34666.251229341,310692.23815792
168750,128920.51080539,52624.118388406,37880.799629496,44868.730012995,40855.689123106,35826.660583555,309023.49145704
181250,128407.49879,53254.933340853,38106.622114242,44947.419704759,40892.448641094,36863.24686351,307527.83054553
193750,127885.5670144,53861.631629648,38335.919568073,45023.322945687,40931.040711814,37805.976774114,306156.54135626
206250,127355.84504046,54452.351618222,38572.133587381,45096.266834721,40969.644866786,38673.223536347,304880.53451607
218750,126822.90031175,55024.300558642,38817.529049111,45167.233421501,41006.725161175,39488.698212748,303672.61328506
231250,126292.41328832,55571.063926124,39072.161253381,45238.042022836,41041.280674097,40260.902465237,302524.13636999
243750,125768.83149399,56090.11860677,39333.58953628,45310.883869124,41072.945335315,40990.564428653,301433.06672985
256250,125253.78880154,56585.70680813,39597.624433885,45387.831693079,41101.970263232,41675.448315822,300397.6296843
268750,124745.34560445,57067.06751091,39859.880673783,45470.401386592,41129.122976573,42326.594504856,299401.58734283
281250,124238.71937718,57543.51266627,40117.499753506,45559.185300899,41155.523844582,42955.400121187,298430.15893636
293750,123728.32901912,58019.610575781,40370.258050554,45653.641649312,41182.452787414,43556.931417348,297488.77650046
306250,123210.04474742,58495.224159553,40620.58923202,45752.204379305,41211.171907449,44126.359268086,296584.40630616
318750,122682.75992437,58968.515018511,40872.620377747,45852.757731992,41242.78249832,44676.893166901,295703.67128215
331250,122148.48536379,59434.130537387,41130.755321308,45953.286066975,41278.091241587,45217.049252247,294838.2022167
343750,121610.99063758,59886.1264648,41398.234843762,46052.43789133,41317.459468334,45735.917381628,293998.83331255
356250,121074.30817111,60322.21318805,41675.889516997,46149.852335875,41360.663530514,46229.571599087,293187.50165836
368750,120541.71113618,60743.478780959,41961.544802805,46246.212914141,41406.852905353,46711.740252054,292388.4592085
381250,120014.80531332,61154.190467719,42250.752728797,46343.056019807,41454.683960483,47181.659626706,291600.85188315
393750,119492.97040969,61558.102153955,42538.736979281,46442.40711654,41502.61526582,47632.026321628,290833.14175308
406250,118973.65112288,61957.191970849,42822.334693133,46546.340752936,41549.255972151,48054.066669072,290097.15881897
418750,118453.37984106,62353.574744114,43100.958878195,46656.531533444,41593.646840537,48464.535272316,289377.37289033
431250,117929.17351588,62748.790251319,43376.453707884,46773.860966154,41635.414781348,48854.522622185,288681.78415522
443750,117399.82707795,63142.164080627,43652.214450527,46898.208115237,41674.799845424,49218.375309204,288014.41112102
456250,116866.29759735,63530.481961019,43931.906356072,47028.558368746,41712.575129225,49545.86401255,287384.31657503
468750,116330.98933914,63907.916734696,44217.864830121,47163.405904887,41749.887681086,49855.42847592,286774.50703414
481250,115796.73316102,64270.61671018,44509.708508375,47301.269958961,41788.062462735,50141.656995926,286191.95220279
493750,115265.93232369,64623.616270257,44804.337939383,47441.144162075,41828.409838592,50395.663624063,285640.89584193
506250,114739.75592925,64972.539891262,45097.49400829,47582.776141372,41872.049910785,50592.332387832,285143.0517312
518750,114217.59843446,65315.514805144,45385.60734654,47726.729347399,41919.74114853,50763.030597509,284671.7783204
531250,113697.21048886,65651.866918933,45666.902111456,47874.24077552,41971.716993661,50891.022211087,284247.04050047
543750,113175.41300985,65983.326015995,45941.667577122,48026.942694248,42027.584485053,50961.851435315,283883.21478241
556250,112649.05912545,66310.897564897,46212.015883702,48186.50948217,42086.364637473,50983.839885221,283571.31342108
568750,112116.08592681,66634.991663119,46481.232749951,48354.253348056,42146.703006994,50942.090729425,283324.64257563
581250,111576.37343313,66961.373390966,46752.731075723,48530.738978635,42207.188217276,50833.188754349,283138.40614991
593750,111031.90490565,67291.161986134,47029.104411236,48715.576384001,42266.669293325,50652.391291651,283013.191728
606250,110486.13430699,67631.409443449,47312.574662636,48907.520595305,42324.485912206,50390.626167445,282947.24891196
612500,110212.44528603,67802.074158775,47457.432464115,49005.246597614,42353.05249317,50251.43759173,282918.31140856
618750,109939.82819798,67971.104983731,47605.809770441,49104.145208281,42381.191251844,50101.329225487,282896.59136222
631250,109403.26443467,68448.79074363,48041.387456672,49305.076282639,42435.968478708,49754.924611736,282610.58799194
643750,108874.89788851,68881.068765936,48420.245407953,49508.643320158,42490.528410209,49351.297480783,282473.31872644
656250,108354.72597676,69288.245640235,48767.034166494,49714.665513192,42546.124211555,48860.315439361,282468.88905239
668750,107840.56301746,69682.682718427,49095.12283222,49923.981832629,42604.082129076,48302.539017296,282551.02845288
681250,107328.58002898,70069.07564776,49407.052082271,50138.12525112,42665.58912677,47704.11674375,282687.46111934
693750,106814.23203601,70452.29551147,49707.333213147,50358.694210583,42731.479832556,47025.27032558,282910.69487064
706250,106293.40257203,70830.023501505,50003.241470245,50586.691955904,42802.045337482,46260.225469396,283224.36969343
